Date,Open,High,Low,Closed,% Chg.,Change,Prev. Closed,Volume,Turnover
1994/10/06,1458.230000,1458.540000,1458.230000,1458.540000,0.020000,0.310000,1458.230000,391268,67066589
1994/10/08,1458.540000,1458.540000,1439.240000,1439.240000,-1.340000,-19.300000,1458.540000,1038273,160412439
1994/10/09,1439.240000,1439.240000,1438.250000,1438.250000,-0.070000,-0.990000,1439.240000,634620,103725721
1994/10/10,1438.250000,1438.250000,1435.150000,1435.150000,-0.220000,-3.100000,1438.250000,798256,168533089
1994/10/11,1435.150000,1435.150000,1432.250000,1432.250000,-0.200000,-2.900000,1435.150000,655460,102946573
1994/10/12,1432.250000,1432.250000,1421.110000,1421.110000,-0.780000,-11.140000,1432.250000,863536,123457263
1994/10/13,1421.110000,1421.110000,1407.010000,1407.010000,-1.000000,-14.100000,1421.110000,487463,65409616
1994/10/15,1407.010000,1416.910000,1407.010000,1416.910000,0.700000,9.900000,1407.010000,854068,111040563
1994/10/16,1416.910000,1416.910000,1415.720000,1415.720000,-0.080000,-1.190000,1416.910000,892546,139792529
1994/10/17,1415.720000,1424.080000,1415.720000,1424.080000,0.590000,8.360000,1415.720000,920754,152061054
1994/10/18,1424.080000,1424.080000,1418.640000,1418.640000,-0.380000,-5.440000,1424.080000,614276,88165854
1994/10/19,1418.640000,1418.640000,1412.270000,1412.270000,-0.450000,-6.370000,1418.640000,580496,81904946
1994/10/20,1412.270000,1412.270000,1406.060000,1406.060000,-0.440000,-6.210000,1412.270000,286847,38813569
1994/10/22,1406.060000,1406.260000,1406.060000,1406.260000,0.010000,0.200000,1406.060000,460509,72240803
1994/10/23,1406.260000,1406.260000,1401.700000,1401.700000,-0.330000,-4.560000,1406.260000,549430,79734226
1994/10/24,1401.700000,1401.700000,1389.340000,1389.340000,-0.890000,-12.360000,1401.700000,528337,77977207
1994/10/25,1389.340000,1389.340000,1379.460000,1379.460000,-0.720000,-9.880000,1389.340000,811841,114566111
1994/10/26,1379.460000,1384.810000,1379.460000,1384.810000,0.390000,5.350000,1379.460000,955507,121178612
1994/10/27,1384.810000,1386.600000,1384.810000,1386.600000,0.130000,1.790000,1384.810000,297660,39984774
1994/10/29,1386.600000,1386.600000,1381.840000,1381.840000,-0.340000,-4.760000,1386.600000,412005,59308281
1994/10/30,1381.840000,1381.840000,1378.720000,1378.720000,-0.230000,-3.120000,1381.840000,250796,38325765
1994/10/31,1378.720000,1378.720000,1378.240000,1378.240000,-0.030000,-0.480000,1378.720000,490026,60947138
1994/11/01,1378.240000,1378.240000,1373.140000,1373.140000,-0.370000,-5.100000,1378.240000,357558,56138829
1994/11/02,1373.140000,1373.140000,1366.060000,1366.060000,-0.520000,-7.080000,1373.140000,406026,59088464
1994/11/03,1366.060000,1366.060000,1358.840000,1358.840000,-0.530000,-7.220000,1366.060000,140486,20198316
1994/11/05,1358.840000,1362.530000,1358.840000,1362.530000,0.270000,3.690000,1358.840000,260589,37236773
1994/11/06,1362.530000,1362.530000,1360.790000,1360.790000,-0.130000,-1.740000,1362.530000,200399,32340813
1994/11/07,1360.790000,1360.790000,1352.980000,1352.980000,-0.580000,-7.810000,1360.790000,382258,55634096
1994/11/08,1352.980000,1352.980000,1351.370000,1351.370000,-0.120000,-1.610000,1352.980000,185980,36154899
1994/11/09,1351.370000,1351.370000,1346.020000,1346.020000,-0.400000,-5.350000,1351.370000,258141,43524164
1994/11/10,1346.020000,1346.020000,1343.810000,1343.810000,-0.160000,-2.210000,1346.020000,80259,16666235
1994/11/12,1343.810000,1343.810000,1335.120000,1335.120000,-0.650000,-8.690000,1343.810000,499692,68792562
1994/11/13,1335.120000,1335.120000,1321.200000,1321.200000,-1.050000,-13.920000,1335.120000,515208,74127607
1994/11/14,1321.200000,1321.200000,1302.050000,1302.050000,-1.470000,-19.150000,1321.200000,458032,67846458
